code,bul_s_tn,bul_s_phosphorus,high_prod_exotic_grass,low_prod_grass,latitude,altitude,lake_area,secchi_disk,wcs_chla,wcs_doc,max_depth,forestry,native,distance_to_road
25994,1.03,1330,31.49677556,0,-42.404092,28,43.2,NA,NA,15.8,3,0.974270451,31.133728848,754.0326466919622
50782,0.71,560,85.47205489,0.093832433,-37.439999,7,3437.4,0.28,0.056,11.2,2,2.398056016,6.249900825,2594.402600520512
36215,NA,1700,85.91368542,0,-39.58353,38,110.5,0.35,0.039,16.5,1.3,4.80804381,0,119.9571470027689
49200,0.9,810,64.38149842,0.896091795,-37.552222,15,56.4,0.3,0.017,13.2,2,0.91399708,8.218394069999999,404.08147879594105
14422,1.7,1050,83.70524048,0,-37.8874962,56,17.8,0.57,0.0014,34.9,6.9,0,11.1447581,747.0847065056971
49180,0.75,580,85.30905833,0.135432522,-37.4614141,10,1078.6,0.25,0.06,8.3,2.5,3.313102833,7.066251105999999,1717.0610626969922
831,1.95,2010,90.26137519,0.987179879,-40.72473,20,15.8,1.2,0.025,15.7,6.9,0.442706402,1.902603719,158.45862993920218
18951,1.7,3960,90.03218767,0,-39.8953,76,8.1,0.7,0.036,5.6,6.2,4.065535132,1.663657652,37.57223370449584
14426,1.7,1350,94.2054222,0,-37.94239999,54,4.6,1.5,0.0034,23.3,4.2,0,0,310.3212541533641
13447,0.65,1550,92.96005768,0,-40.1003,92,7.8,3,3e-4,8.6,7.3,3.094257174,0,202.59520988033435
41314,0.61,520,68.60544076,2.311856476,-37.556942,13,444.6,0.33,0.14,6.2,3.4,7.465331416,5.945177392,1273.0671947848175
14428,1.6,1220,80.41903075,0,-37.9258209,89,13.6,1.7,0.012,15.7,8.7,0,0,293.25083143799435
18933,1.5,3560,86.52572281,0,-39.977567,52,19.2,3.6,0.0014,8.5,14.2,1.802622101,1.0179574759999999,257.14051364561055
22999,1.1,1160,91.3882015,0,-36.180537,16,43.8,0.52,0.078,13.8,5,1.957895394,6.653903134000001,444.5370439407992
44599,0.55,1630,74.94224604,0.061459188,-46.22815363,12,131.7,0.7,0.012,5.8,0.8,14.805443132,3.4006725490000003,480.09713979106624
24415,2.4,3680,99.5323301,0,-34.90133333,14,6.9,1.57,0.017,14.3,3.7,0,0.467669896,373.33261922087314
53707,2.1,2700,85.10529453,3.474267503,-45.00771483,410,25.5,3.5,0.0054,5.5,30,0.478347569,8.649873541,277.3940856712919
18934,2,4380,71.65231487,12.86715887,-39.974633,55,21.8,3.9,0.0014,7.5,19.1,3.502775847,1.958710666,113.4499928579933
50403,2.3,2370,40.08546238,0.223601587,-36.33137007,37,17.2,1.8,0.011,16.2,6,42.451962353999996,12.599723942,764.0512851302248
13467,2.3,1600,35.97260052,0.520010401,-34.94642884,31.3,108.6,2.3,0.008,15.3,6.5,48.48601254,2.059854307,840.2609145535315
36096,NA,2270,92.28717748,0,-39.56655206,21,85.1,0.23,0.072,14.8,2.1,2.739178843,0,644.8295412180893
43649,0.65,2600,61.07324875,35.03182564,-46.590107,19,17.2,2.4,7.5e-4,8.8,6.3,3.380316856,0,132.5647052287991
47579,0.38,1150,65.65310817,5.446112433,-43.8025,5,558.8,1,0.0095,3.3,4,6.824682105,17.941920929,867.7583680136622
54742,0.08,234,65.56759908,2.420822606,-46.57148333,2.1,1358.9,0.69,3e-4,14,1,3.2784898270000005,7.058233700999999,1674.2937996177568
41293,0.57,1040,32.25041878,3.702607345,-43.670134,678,5.4,1.4,0.0011,1.8,2,0,27.101969008999998,6311.511902777308
36980,1.8,4370,60.82147593,0,-39.23455,169,10,2,0.022,NA,16,9.736697606,29.268710397,264.7145973641858
50345,1.9,1750,13.55097069,2.264333841,-36.25107,118,8.9,NA,0.039,8.7,3.5,84.18469547100001,0,514.9142827321135
18719,2.2,721,24.8401785,38.70688295,-35.01815,51,15.2,2.95,0.0086,11.8,3,6.892310654,0,177.93195666067865
50269,2,1790,60.29032988,0.277975899,-36.5302,56,27.8,1.1,0.012,8.8,15.6,14.59386013,24.228514844,305.32274179337344
49884,2.6,1310,51.50292718,0.692352833,-36.593075,17,23.6,1,0.0051,8.9,2.2,18.20437154,28.800479472,392.5691611203428
23682,3.3,1890,74.2150729,0.046373273,-35.0492848,32.6,8.3,0.05,0.024,7.1,4.5,2.587787182,6.722341018,330.8213458062708
23691,1.8,731,63.71732334,10.1521937,-35.0355278,37,51.7,4.79,0.0014,9.1,6.1,5.574089851,2.951762077,148.81176084874227
14290,1.59,1730,85.82484725,0,-38.2989411,420,30.1,3.4,0.022,5.9,18,8.01526949,3.7241156779999995,290.2046198167277
23681,2.6,1310,91.23949428,2.344410578,-35.05901108,37.9,27.7,4.4,0.0051,13.7,7.5,2.3407142270000003,1.49979439,1167.6988671236334
47859,0.99,900,45.19594442,30.18277187,-43.57494,627,9.5,0.8,3e-4,0.58,0.8,0.391228858,18.353305751,1440.7192123024895
50314,2.5,1330,0,2.794013811,-36.35158,8,159.2,3.6,0.002,6.4,6.2,81.004138141,15.687890391,5776.787898670518
24511,1.7,955,36.29501497,0,-34.75584908,35,3.5,2.95,0.0038,12.4,3.6,50.08730922,0,650.402855812397
41299,0.6,730,0.121332081,40.67378207,-43.638858,640,166.8,1.2,0.0067,3.9,2.3,0.289211343,25.587611215000003,2881.833000811816
48447,1.6,1060,0.080857861,61.55045821,-43.318146,545,17.5,3.8,0.0011,3.7,11.7,0,38.36868393,188.3623285624975
21871,0.85,888,53.19803167,0,-36.192437,33,14.4,1.55,0.0087,11.8,5.6,11.61233365,9.145904081,388.51744818743913
1,NA,NA,59.16317566,1.04542829,-41.377447,47,622.4,0.7,0.071,0.57,1.2,4.520107601,28.406440893,775.2582664934911
18717,2.5,1090,35.20486245,0,-35.15583959,56.2,6.1,1.9,0.0038,7.8,4.9,44.064988918000005,0.390357707,178.0590306942782
28543,0.17,313,52.60501654,2.884309215,-46.356284,10.5,90.8,0.38,0.014,12.6,0.8,1.342531598,33.854981756,643.1494939807238
41305,1.2,940,0,28.20642872,-43.6027,675,196.6,3.9,0.022,3.5,20,0.061643317,60.281838307,600.7058366233806
23690,2.9,2310,28.59678599,0,-35.0214519,55,2.1,2.47,0.0029,7.6,7.8,61.75950166,0,610.8101017243005
44391,0.43,1360,73.93815946,0.26939218,-46.02035028,7,607.6,0.9,0.0062,3.4,2,16.191953519,4.078617886,705.9745420637648
1708,0.065,665,50.07923758,0.23233542,-41.17624,1,7737.1,NA,NA,NA,2.5,0.650470102,37.869418757999995,1648.1824224871275
48669,2.1,360,0,58.52005403,-43.104239,561,35.4,2.9,0.0013,3.4,3.4,0,32.8168675,1009.4450873710704
36981,0.73,2730,37.77670498,9.980892348,-39.22501,160,170,5.8,0.0021,3.7,50,30.411100378,15.803306146,452.2168046480387
47860,1.9,1000,0,86.48221813,-43.550102,674,19.3,0.7,0.0038,3.7,2.3,0,3.035021431,2330.2582885966385
24628,0.67,1080,2.604177933,0.398224537,-34.64216655,17,35.9,2.02,0.0017,17,14.1,85.41303448,6.711161391,902.5146615021624
40188,1.45,1870,32.98487804,0.103608808,-38.0151729,297,790.1,0.8,NA,NA,13,27.715901152,36.292995987,1387.2183594178832
50320,1.1,1850,0,22.91171833,-36.31386667,6,10.6,2.1,NA,4.3,5.8,49.4730057,27.49880535,3947.325587759836
17761,0.11,260,89.49169253,0.271321912,-36.10130034,40,3.8,4.7,0.0016,4.4,11.5,5.312491276,1.245422454,527.9786341795686
50413,0.64,619,26.52902184,0.685593835,-36.35028333,60,25.7,2.2,0.0086,5.9,13,50.60646213,18.588174263000003,1434.433321226967
24633,0.79,928,0,0,-34.62373575,16,14.5,0.96,3e-4,10.5,10.8,95.99476936,0.698023789,812.7469557111178
19575,0.59,244,0,0,-34.58615,77,2,3.95,NA,8.7,4.8,95.83152619,1.793648499,885.5705474086458
50373,1.6,1530,1.219840153,2.00840553,-36.36485,57,77.1,NA,0.0025,5,14.9,65.598161373,21.000744806,2098.5830209792
