type,code,lake,latitude,longitude
Both,25994,Lake Rotorua,-42.404092,173.581394
Both,50782,Lake Waikare,-37.439999,175.19626
Both,36215,Lake Runanga,-39.58353,176.71019
Both,49200,Lake Hakanoa,-37.552222,175.168228
Both,14422,Lake Maratoto,-37.8874962,175.3042675
Both,49180,Lake Whangape,-37.4614141,175.0653926
Both,831,Lake Waitawa,-40.72473,175.17087
Both,18951,Lake Westmere,-39.8953,174.9992
Both,14426,Lake Serpentine North,-37.94239999,175.3189342
Both,13447,Lake Dudding,-40.1003,175.279
Both,41314,Lake Waahi,-37.556942,175.124364
Both,14428,Lake Rotomanuka,-37.9258209,175.31575
Both,18933,Lake Pauri,-39.977567,175.0976
Both,22999,Spectacle Lake,-36.180537,174.631217
Both,44599,Lake Tuakitoto,-46.22815363,169.8248794
Both,24415,Lake Waiporohita,-34.90133333,173.3482167
Both,53707,Lake Johnson,-45.00771483,168.7323606
Both,18934,Lake Wiritoa,-39.974633,175.089083
Both,50403,Lake Rotootuauturu,-36.33137007,174.1397831
Both,13467,Lake Waiparera,-34.94642884,173.1832282
Both,36096,Lake Oingo,-39.56655206,176.751942
Both,43649,Lake Vincent,-46.590107,168.821629
Both,47579,Lake Forsyth,-43.8025,172.3794
Both,41293,Lake Denny,-43.670134,171.122638
Both,50345,Lake Rototuna,-36.25107,174.04008
Both,23691,Lake Ngatu,-35.0355278,173.1982987
Both,14290,Lake Okaro,-38.2989411,176.3945234
Both,47859,Maori Lakes A,-43.57494,171.18282
Both,50314,Lake Mokeno,-36.35158,174.06073
Both,24511,Lake Waihopo,-34.75584908,173.0427591
Both,18717,Lake Ngakapua,-35.15583959,173.3499011
Both,41305,Lake Clearwater,-43.6027,171.044722
Both,23690,Lake Carrot,-35.0214519,173.1889745
Both,48669,Lake Hawdon,-43.104239,171.850706
Both,36981,Lake Tutira,-39.22501,176.8982
Both,24628,Lake Morehurehu,-34.64216655,172.9973286
Both,40188,Lake Rotoehu,-38.0151729,176.5319335
Both,17761,Lake Wainui,-36.10130034,173.8816115
Both,50413,Lake Rotokawau,-36.35028333,174.1465167
Both,24633,Lake Te Kahika,-34.62373575,173.0010867
Both,50373,Lake Kanono,-36.36485,174.1484167
Both,39225,Lake Haupiri,-42.567542,171.692006
Both,50371,Lake Kahuparere,-36.36910358,174.1573594
Both,40071,Lake Rerewhakaaitu,-38.2920385,176.5000859
Both,54190,Lake Hayes,-44.97495332,168.8110583
Both,12830,Lake Harihari,-38.2115581,174.7215154
Both,11133,Lake Rotorua,-38.0775,176.2703
Both,50401,Lake Humuhumu,-36.32808333,174.1294667
Both,50151,Lake Pupuke,-36.7802378,174.7654825
Both,50270,Lake Rototoa,-36.51214,174.238849
Both,48660,Lake Pearson,-43.10279,171.778328
Both,54730,Lake Rotoiti,-38.0390247,176.3526958
Both,38955,Lake Poerua,-42.704272,171.49495
Both,47193,Lake Alexandrina,-43.93682,170.45454
Both,48455,Lake Ida,-43.254398,171.538842
Both,15325,Lake Okareka,-38.1719011,176.3585567
Both,15312,Lake Tikitapu,-38.1923753,176.3310214
Both,21926,Lake Waikare,-35.7986,173.6303
Both,48663,Lake Grasmere,-43.062222,171.77440000000001
Both,48213,Lake Selfe,-43.23944,171.5183
Both,39364,Lake Katrine,-42.71833,172.2
Both,21917,Lake Taharoa,-35.80788333,173.6462167
Both,39356,Lake Taylor,-42.7675,172.2311
Both,54732,Lake Tarawera,-38.2066553,176.3922828
Both,54731,Lake Okataina,-38.1102249,176.4215715
Both,54738,Lake Sumner,-42.8575756,172.8305065
Both,47228,Lake Tekapo,-43.993266,170.486069
Both,45514,Lake Ohau,-44.230632,169.850807
Both,46564,Lake Pukaki,-44.07395,170.165013
Both,195,Lake Nganoke,-41.3555,175.18696
Both,4506,Voss Lagoon,-40.416283,175.4932
Both,5042,Pukepuke Lagoon,-40.340858,175.26483
Both,7512,Lake Rotokare,-39.4527,174.4106
Both,8138,Lake Mckay,-44.8518862,169.2126718
Both,12876,Lake Taharoa,-38.1658535,174.7388147
Both,13446,Lake Heaton,-40.10708351,175.2874406
Both,13466,Lake Katawich,-34.943127,173.164791
Both,14418,Lake Mangahia,-37.8796137,175.2281991
Both,14720,Lake Te Ku Utu,-37.8891555,175.4717045
Both,15013,Lake Rotokauri,-37.7644875,175.1980409
Both,15020,Horseshoe Lake,-37.7703295,175.2256059
Both,15034,Lake Areare,-37.667613,175.199878
Both,15037,Lake D,-37.677593,175.233185
Both,15038,Lake B,-37.679193,175.246648
Both,15795,Lake Kaikura,-39.7002,174.4051
Both,15904,Lake Oturi,-39.779,174.62177
Both,15907,Lake Waiau,-39.7935,174.6804
Both,15929,Lake 15929,-39.842,174.8164
Both,16131,Lake Moumahaki,-39.688181,174.670536
Both,16202,Lake 16202,-39.672897,174.801519
Both,16222,Lake Waikare,-39.66914,174.80594
Both,16722,Lake Kawau,-40.26205,175.3504
Both,16939,Lake Waipu,-40.045017,175.1557
Both,21433,Lake Ngakeketo,-34.51811622,172.7739775
Both,21434,Lake Wai Raupo,-34.51566858,172.7578431
Both,21450,Lake Te Ketekete,-34.479392,172.719112
Both,21759,Lake Kapoai,-36.0455,173.8328
Both,24423,Lake 24423,-34.87172436,173.3201327
Both,24620,Lake Wahakari,-34.65289,172.92877
Both,24701,Lake Peel,-41.14594649,172.6023813
Both,24960,Lake Lockett,-41.080595,172.625535
Both,25044,Lake Chalice,-41.5728685,173.3028526
Both,25248,Long White Lagoon,-46.356922,168.1644
Both,25519,Lake Otuhie,-40.68641667,172.4186667
Both,25789,Lake Kaihoka 1,-40.55388333,172.5987
Both,25790,Lake Kaihoka 2,-40.55473333,172.6022
Both,25972,Mata Kopae Lagoon,-42.78007,173.26974
Both,26277,Lake Horsehoe,-42.6780261,172.2321277
Both,27286,Lake McRae,-42.1834685,173.3315873
