LID,road200,boatramp
1,1,0
3,1,0
4,1,0
6,0,0
7,1,0
8,0,0
47,1,0
70,0,0
113,1,0
119,1,0
195,0,0
229,0,0
298,0,0
299,0,0
300,0,0
301,1,0
325,1,0
332,0,0
337,1,0
338,1,0
345,0,0
349,0,0
352,0,0
380,1,0
381,1,0
402,0,0
465,1,0
468,1,0
476,1,0
477,0,0
484,1,0
491,1,0
501,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
511,1,0
512,0,0
515,1,0
524,1,0
583,1,0
656,0,0
664,0,0
667,1,0
671,1,0
672,0,0
690,0,0
791,0,0
831,1,0
841,0,0
855,0,0
856,0,0
869,0,0
870,1,0
871,0,0
877,1,0
885,1,0
886,1,0
1416,0,0
1420,0,0
1491,1,0
1492,1,0
1509,1,0
1548,0,0
1553,1,1
1566,0,0
1682,0,0
1708,1,0
1717,0,0
1720,0,0
1721,1,0
1726,1,0
1729,0,0
1730,0,0
1731,0,0
1735,0,0
1738,0,0
1739,0,0
1742,0,0
1744,1,0
1814,0,0
1868,1,0
1957,1,0
1962,0,0
1972,0,0
1974,0,0
1978,0,0
1992,0,0
1993,0,0
2069,0,0
2073,1,0
2078,0,0
2106,0,0
2137,1,0
2165,1,0
2199,1,0
2205,1,0
2206,1,0
2366,0,0
2409,0,0
2446,0,0
2549,1,0
2578,0,0
2591,0,0
2612,1,0
2640,0,0
2684,0,0
2690,1,0
2718,0,0
2738,1,0
2836,0,0
2863,0,0
2868,0,0
2923,1,0
3007,0,0
3028,0,0
3129,1,0
3146,1,0
3221,0,0
3689,0,0
3694,0,0
3704,0,0
3708,0,0
3905,1,0
4278,0,0
4290,1,0
4342,1,0
4343,1,0
4345,1,0
4358,0,0
4362,1,0
4365,0,0
4380,0,0
4381,0,0
4401,1,0
4435,0,0
4436,0,0
4442,1,0
4443,0,0
4444,0,0
4447,0,0
4448,0,0
4451,1,1
4452,0,0
4467,0,0
4484,0,0
4486,0,0
4493,0,0
4506,1,0
4509,1,0
4513,0,0
4521,0,0
4554,0,0
4556,0,0
4560,1,0
4670,1,0
4684,0,0
4747,0,0
4911,1,0
4913,0,0
4915,0,0
4917,1,0
4922,0,0
4925,1,0
4926,1,0
4968,0,0
5007,1,0
5008,0,0
5014,0,0
5042,0,0
5045,0,0
5049,1,0
5054,0,0
5068,0,0
5146,0,0
5217,0,0
5223,0,0
5232,0,0
5233,0,0
5241,0,0
5249,0,0
5264,1,0
5272,0,0
5306,0,0
5313,0,0
5316,0,0
5321,0,0
5340,1,0
5341,1,0
5363,1,0
5397,0,0
5411,0,0
5446,0,0
5492,1,0
5610,0,0
5661,0,0
5831,1,0
5946,0,0
5955,0,0
