Lake,Code,Region,Date.Survey,Month.Sampled,Date.Rep.Survey,Latitude,Longitude,East_NZMG,North_NZMG,PRIMARY FENZ class ,GEOMORPHIC Class,MaxDepth,LakeArea,LakeVolume,lkElev,FENZ SumPress1A,FENZ SumPress1B,RegionalRa,Regional rank,National Rank,NationalCu,Natural_cover,Urban,Pasture,Landuse_Pressure,Impervious,InvasivePlants,InvasiveFish,DamEffectUpstream,DamEffectDownstream,DecTemp,DecSolrad,Fetch,SumWind,catBeech,catGlacial,catHard,catPeat,catPhos,catSlope,catAnnTemp,DirectDistCoast,ResidenceTime,MeanWind,Catch.flow,catJuneSolRad,catCalc,catPsize,catAlluv,Alpine.Grass,Indi.Hard,Built.up,Decid.Hard,Dep.Grass,Dune.Shrub,Estu.Wat,Exot.For,Fernland,Flaxland,For.Harv,Gorse,Gravel,Herb.FW.Veg,Herb.Sal.Veg,High.Prod.Exotic.Grass,Indi.For,Landslide,Low.Prod.Grass,Manuka,Matagouri,Mixed.Exo.Shrub,Orchard,Peat.Shrub,Per.Snow,River,Sand,Short.rot.Crop,Sub.Alp.Shrub,Mine,Tussock,Trans.Infra,Parkland,Max.Depth,Sampling.Depth ,Secchi.Disk,Thermocline,Altitude,Zooplankton.Net.Depth,Zooplankton.filtered,Phytoplankton.net.depth,Phytoplankton.filtered,WCS.Bul.TN,WCS.Bul.Nitrite,WCS.Bul.Nitrate,WCS.Bul.TKN,WCS.Bul.TP,WCS.Bul.TSS,WCS.Bul.VSS,WCS.DOC,WCS.TOC,WCS.DIN.Nitrite,WCS.DIN.Nitrate,WCS.DIN.Ammonia,WCS.DIN.DRP,WCS.Arsenic,WCS.Cadmium,WCS.Chromium,WCS.Copper,WCS.Lead,WCS.Mercury,WCS.Nickel,WCS.Zinc,WCS.Chla,BS.Bul.TN,BS.Bul.Nitrite,BS.Bul.Nitrate,BS.Bul.TKN,BS.Bul.TP,BS.Bul.TSS,BS.Bul.VSS,BS.DOC,BS.TOC,BS.DIN.Nitrite,BS.DIN.Nitrate,BS.DIN.Ammonia,BS.DIN.DRP,BS.Arsenic,BS.Cadmium,BS.Chromium,BS.Copper,BS.Lead,BS.Mercury,BS.Nickel,BS.Zinc,Data.Quality,TLI3,TL-P,TL-N,TL-Chl-a,Median-TP,Median-TN,Median-Chl-a,Chla-95,Bloom,Shallow/Deep,Monitored.Month.TN,Monitored.Month.TP,Monitored.Month.Chla,Days.Different,PW.DRP.concentration.DL,PW.TP,Ex.P.PW,PF.NH4Cl.P,PF.BD.P,PF.NaOH.rP,PF.Org.P,PF.HCl.P,PF.Res.P,PF.Total.P,PF.NH4Cl.P%,PF.BD.P%,PF.NaOH.rP%,PF.Org.P%,PF.HCl.P%,PF.Res.P%,Pot.Mob.P.SL,Pot.Mob.AL,Pot.Mob.AL.Org.P,EPC,AR.P.DW,AR.N.DW,AR.P,AR.N,Sys.for.Densities,Tot.BD.sedm.PW.g.cm3,Tot.BD.sedm.PW.kg.m3,DryBD.DW.g.cm3,DryBD.DW.,PW.density.g.cm3,PW.density.,AM.sedm.PW.g.cm2,AM.sedm.PW.kg.m2,AM.DW.g.cm2,AM.DW.kg.m2,AM.PW.g.cm2,AM.PW.kg.m2,Tot.PW,BulS.Ash,BulS.OM,BulS.Carbonates,BulS.TOC,BulS.TN,BulS.Iron,BulS.Manganese,BulS.Aluminium,BulS.Calcium,BulS.Lead,BulS.Copper,BulS.Cadmium,BulS.Zinc,BulS.Phosphorus,BulS.Sulfur,GS..63,GS.63.2mm,GS..2mm,TRR.Mn.Fe,TRR.TOC.TP,TRR.Al.Fe,TRR.AL.P,TRR.Fe.P,TN:TP,RSE.NaOH.Al.BD.Fe,RSE.NaOH.rP.BD.P,RSE.BD.Fe.TOC,RSE.TOC.Res.P,SI.d15N,SI.d13C,SI.C:N,BD.Fe.molar,NaOH.Al,Sieve0.05,Sieve0.06,Sieve0.12,Sieve0.24,Sieve0.49,Sieve0.98,Sieve2,Sieve3.9,Sieve7.8,Sieve15.6,Sieve31,Sieve37,Sieve44,Sieve53,Sieve63,Sieve74,Sieve88,Sieve105,Sieve125,Sieve149,Sieve177,Sieve210,Sieve250,Sieve300,Sieve350,Sieve420,Sieve500,Sieve590,Sieve710,Sieve840,Sieve1000,Sieve1190,Sieve1410,Sieve1680,Sieve2000,Sieve2380,Sieve2830,Sieve3360,Dx (10),Dx (50),Dx (90)
Lake Rotorua,25994,Canterbury,19/11/2020,November,,-42.404092,173.581394,2557903,5866690,A,R,3,43.2,432387,27.53,0.621,0.621,128,97.649,1371,40.815,0.6488,0,29.18,2.21,1673.4906,0,0,0,0,17.12,2378.26,1224,3.38,0,0,3.83,0,2.87,11.37,12.14,2381.31,181.2961359,3.251698613,870517.184,542.547315,0.95988536,3.83954144,20.0965729,0,1.565594148,0,0.47828917,0,0,0,0.974270451,0,0,0,34.90484397,0,1.012091999,0,31.49677556,0,0,0,29.5681347,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,28,,,,,,,,,,,,15.8,21.6,0.0034,7.85,0.014,0.008,0.0011,0.00004,0.0003,0.0022,0.0007,<0.0001,0.0006,0.024,,,,,,,,,,,,,,,,,,,,,,,2,7.2,7.4,7.05,7.16,300,3900,75,230,100,shallow,,,,,0.03,0.076,0.7153,0.3785,544.2,204.2,417.4,46.83,307,1520,0.047,35.8,13.4,27.5,3.08,20.2,1167,962,545,0.0015,9.16,125.33,15.71,214.81,C,1.048,1048,0.086,85.7,0.962,962,20955,21,1714,1.714,19241,19.2,91.8,80.2,19.9,2.3,8.4,1.03,29400,503,21900,3900,17.9,14.4,0.099,77.9,1330,1620, , , ,0.0174,162.9,1.54,18.9,12.26,7.74,1.23,0.38,0.011,705.6,,,,0.076,0.093860034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Waikare,50782,Waikato,13/10/2020,October,,-37.439999,175.19626,2705039,6415678,A,R,1.8,3437.4,20624549,6.76,0.178,0.057,113,5.992,408,7.112,0.3563,0.36,72.65,1710.57,66.2008,0,53.5,0,1,18.46,2352.08,9796,2.7,0,0,2.07,8.54,1.12,4.92,13.73,24924.12,81.6869202,2.656107545,92156256.3,631.103011,1.25322056,1.45343626,10.2560606,0,0.560743112,0.679721273,1.131564591,0,0,0,1.928644885,0,0,0.469411131,0.045278645,0,2.776887172,0,85.47205489,4.205066896,0,0.093832433,1.484090817,0,0.017312039,0.296911172,0,0,0.050816614,0,0.612779043,0,0,0,0,0.174885284,2,,0.28,,7,,30,,30,3,<0.001,<0.002,3.02,0.11,56,38,11.2,19.5,0.0048,0.0198,0.04,<0.002,0.0015,<0.00002,0.00028,0.0012,0.00015,<0.00008,0.00032,0.0025,0.056,,,,,,,,,,,,,,,,,,,,,,1,6.97,6.5,6.9,7.5,136,2811,117,454,100,shallow,,,,,0.001,0.055,0.1292,0.1208,214.2,112.2,250.4,17.7,140,735,0.018,29.2,15.3,34.1,2.41,19.1,577,465,214, ,2.33,33.85,6.36,92.33,C,1.285,1285,0.136,136.4,1.148,1148,25693,25.7,2728,2.728,22965,23,89.4,82.6,17.4,2.1,4.2,0.71,26400,1010,31300,2510,21.7,18.3,0.17,65.3,560,1100,93.13,6.87,0,0.0389,193.4,2.45,64.16,26.15,12.68,1.42,0.52,0.045,773.6,,,,0.158,0.223962433,0,0,0,0,0,2.59,6.92,16.78,34.42,58.82,80.97,84.98,88.25,91.07,93.13,94.67,95.97,96.99,97.78,98.4,98.89,99.31,99.64,99.89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.62,12.3,49.2
Lake Runanga,36215,Hawke's Bay,17/09/2019,September,,-39.58353,176.71019,2828432,6173789,A,R,0.9,110.5,9703287,38.27,0.32,0.32,13,48.73,2014,73.746,0.3289,0,70.51,0.57,0,0,0,0,0,18.5,2347.72,1620,2.95,0,0,3.53,0,1.25,6.88,13.31,16762.26,1926.185756,2.839453816,1838711.42,602.87,1.63,4.39,0.00010856,0,0,0,1.78269993,0,0,0,3.135475578,0,0,1.672568232,0,0,7.37156628,0,85.91368542,0,0,0,0,0,0,0,0,0,0,0,0.124004559,0,0,0,0,0,1.3,,0.35,,38,,50,,50,,,,,,,,16.5,18.3,,,,,0.0015,<0.00001,0.00021,0.00024,<0.00005,<0.00008,0.00041,<0.001,0.039,,,,,,,,,,,,,,,,,,,,,,3,7.04,7.23,6.81,7.07,168,2400,42,249,88.9,shallow,,,,,0.019,,33.8706,33.6,1074,65.89,301,225.3,510,2210,1.533,48.6,3,13.6,10.19,23.1,1475,1409,1108,0.0053,68.96,218,83.03,262.47,C,0.933,933,0.06,60.2,0.873,873,18657,18.7,1204,1.204,17453,17.5,93.5,73.6,26.4,7.6,8.4,,21200,996,19400,93200,13.8,11.9,0.093,55,1700,6300,38.89,61.11,0,0.0478,127.4,1.89,13.1,6.92,0,1.86,0.06,0.005,424.7,,,,0.032,0.059698801,0,0,0,0,0,0.58,1.35,2.98,6.71,13.6,24.07,27.42,30.94,34.97,38.89,42.59,46.52,50.35,53.91,57.22,60.32,63.38,66.74,70.64,74.34,79.2,84.09,88.67,93.19,96.46,98.71,99.8,100,100,100,100,100,100,11.4,103,622
Lake Hakanoa,49200,Waikato,12/10/2020,October,,-37.552222,175.168228,2701778,6403221,A,R,2.5,56.4,469952,15.5,0.359,0.134,25,0.568,1978,73.651,0.416,9.39,49.9,56.05,5.9631,0,44.5,0,0,18.39,2348.18,1113,3.14,2.65,0,2.27,0,1.08,5.28,13.87,26496.92,55.69494337,2.960745096,3079858.43,625.86532,1.08736062,1.16171002,NA,0,5.679210272,13.42444967,2.718161413,0,0,0,0.91399708,0,0,0,0,0,1.289970445,0,64.38149842,0.609626047,0,0.896091795,1.929557751,0,0,0,0,0,0,0,0,0,0.771337852,0,0,7.386099255,2,,0.3,,15,,50,,50,5.4,0.0018,<0.002,5.38,0.098,38,21.3,13.2,23.4,0.0012,0.0025,<0.005,<0.002,0.0018,<0.00002,0.00028,0.0012,0.0013,<0.00008,0.00051,0.0039,0.017,,,,,,,,,,,,,,,,,,,,,,1,6.75,6.37,6.53,7.35,132,2202,92,246,87.5,shallow,,,,,0.001,0.064,0.17,0.1608,435.1,118.6,265.6,39.67,140,999,0.017,43.5,11.9,26.6,3.97,14,819,701,435,0.0035,6.02,40.66,14.04,94.87,C,1.193,1193,0.117,116.7,1.076,1076,23857,23.9,2333,2.333,21524,21.5,90.2,75.4,24.6,2.8,6.4,0.9,26500,1410,25300,3060,23.5,16.6,0.36,119,810,2800,61.72,38.28,0,0.0541,203.8,1.98,35.86,18.15,11.11,1.33,0.27,0.031,1178.9,,,,0.165,0.219318943,0,0,0,0,0,1.32,3.3,7.63,14.33,23.81,38.98,44.32,49.94,56.13,61.72,66.6,71.39,75.77,79.76,83.48,86.94,90.19,93.19,95.9,97.7,99.07,99.76,100,100,100,100,100,100,100,100,100,100,100,5.09,44.1,208
Lake Maratoto,14422,Waikato,17/10/2020,October,,-37.8874962,175.3042675,2712868,6365957,A,S,7,17.8,416333,56.08,0.306,0.306,146,8.698,1153,24.895,0.3394,0,78.08,21.91,0,0,0,0,0,18,2337.87,756,2.86,0,0,1.15,82.94,1.15,0.48,13.5,30580.28,130.4769978,2.784285188,1164660.74,614.704626,1.98479092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.150001412,0,83.70524048,0,0,0,11.1447581,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,,0.57,,56,5,,5,,1.8,0.0121,0.242,1.5,0.044,4,<3,34.9,36.6,0.016,0.243,0.07,0.002,<0.0005,0.000023,0.00067,0.0011,0.00092,<0.00008,0.00052,0.015,0.0014,,,,,,,,,,,,,,,,,,,,,,1,5.29,4.53,6.41,4.92,30,2154,4,47.2,28.6,shallow,,,,,0.006,0.1,0.3503,0.2393,139.9,489.5,994.6,12.08,130,1766,0.02,7.9,27.7,56.3,0.68,7.4,1624,1135,140, ,9.52,72.22,9.84,74.66,C,1.008,1008,0.052,51.7,0.956,956,20159,20.2,1034,1.034,19125,19.1,94.9,33.6,66.4,3,22.3,1.7,9140,74.9,20300,5060,29,13.3,0.19,33.5,1050,7000,53.04,46.96,0,0.0083,547.7,4.6,22.19,4.83,16.19,20.13,3.5,0.002,4423.6,,,,0.036,0.733404953,0,0,0,0,0,0.32,1.41,3.33,7.04,15.14,28.99,33.91,39.42,46.15,53.04,59.69,66.73,73.28,78.85,83.21,86.41,88.74,90.42,91.79,92.76,93.79,94.75,95.72,96.86,97.89,98.82,99.49,99.88,100,100,100,100,100,10.7,58.5,238
Lake Whangape,49180,Waikato,13/10/2020,October,,-37.4614141,175.0653926,2691846,6412806,A,R,3.5,1078.6,12583940,17.07,0.165,0.046,139,8.573,967,15.836,0.3151,0.03,82.81,7230.51,47.2755,6.7,89.5,0,0,18.41,2349.66,5376,3.06,0,0,2.45,7.13,1.74,4.95,13.9,23774.11,20.52964178,2.938022375,223731925,625.153798,1.93308914,2.8738308,3.32200909,0,1.052344738,0.051209412,2.191347406,0,0,0,2.598258422,0,0,0.714844411,0.531190545,0,1.248953665,0,85.30905833,4.345462875,0,0.135432522,1.668443493,0,0,0.030541253,0,0,0.000264028,0,0.08883232,0,0.031560069,0,0.002256511,0,2.5,,0.25,,10,,30,,30,1.4,<0.001,<0.002,1.42,0.12,85,20,8.3,11.4,0.0026,0.0042,<0.005,<0.002,0.00059,<0.00002,0.0002,0.0017,0.00013,<0.00008,0.0011,0.001,0.06,,,,,,,,,,,,,,,,,,,,,,1,6.58,6.35,6.38,7.01,111.5,1894,63,285.5,93.3,shallow,,,,,0.001,0.066,0.1266,0.1199,174.1,93.59,220.7,37.83,140,666,0.019,26.1,14,33.1,5.68,21,489,395,174,0.0083,1.98,25.63,7.12,92.15,C,1.381,1381,0.18,179.8,1.201,1201,27611,27.6,3596,3.596,24015,24,87,82.6,17.4,4,3.8,0.75,37300,1100,32400,6670,18.8,19,0.35,129,580,2100,74.66,25.34,0,0.03,169,1.8,64.13,35.67,12.93,1.21,0.54,0.053,700,,,,0.167,0.202210515,0,0,0,0,0,1.85,4.7,11.85,24.69,41.6,59.36,63.59,67.51,71.4,74.66,77.38,79.94,82.17,84.06,85.69,87.09,88.34,89.47,90.56,91.41,92.4,93.43,94.54,95.95,97.27,98.48,99.37,99.87,100,100,100,100,100,3.42,21.5,272
Lake Waitawa,831,Wellington,24/09/2018,September,,-40.72473,175.17087,2693517,6051259,A,W,11.22,15.8,590221,19.64,0.298,0.086,112,11.087,2555,91.682,0.3151,0.99,84.7,4.15,0,190.95,51,0,0,17.16,2310.01,779,3.95,0,0,1.62,0,1.77,1.88,12.73,3546.93,350.9209425,3.829527378,613901.12,546.2,1.77,1.2,NA,0,0,0.426086919,1.3957749,0,0,0,0.442706402,0,0,0,0,0,3.721237606,0,90.26137519,1.902603719,0,0.987179879,0,0,0,0,0,0,0,0,0.538715545,0,0,0,0,0.324319844,6.9,6.6,1.2,4,20,4.5,,4.5,,,0.018,16.8,1.21,0.22,5,<3,15.7,16.4,,,0.53,0.098,0.0007,<0.00001,0.0005,0.001,0.0004,<0.0001,0.0003,0.004,0.025,1.77,0.013,0.5,1.26,0.2,<3,<3,16.1,16.9,,,<0.01,0.059,0.0007,0.00001,0.0006,0.005,0.0014,<0.0001,0.0007,0.0099,3,6.09,6.67,5.96,5.64,160,1500,13.4,67.8,33.3,deep,,,,,0.019,0.3,1.1091,0.2438,1083,250.2,649.2,11.93,430,2425,0.046,44.7,10.3,26.8,0.49,17.7,1984,1733,1084,0.0155,196.01,395.4,84.04,169.52,C,0.998,998,0.021,21.4,0.976,976,19954,20,429,0.429,19526,19.5,97.9,66.1,33.9,8.8,17.9,1.95,19600,497,19300,4410,14.1,23.3,0.15,63.3,2010,9170,27.93,72.07,0,0.0258,229.7,2.04,11.02,5.41,9.7,1.86,0.23,0.007,1073.5,,,,0.098,0.18263927,0,0,0,0,0,0.15,0.77,2.11,5.21,9.86,16.49,18.75,21.27,24.44,27.93,31.68,36.31,41.67,47.46,53.75,60.17,66.62,73.04,79.36,84.21,89.08,92.92,95.77,97.96,99.24,99.89,100,100,100,100,100,100,100,15.9,93.2,870
Lake Westmere,18951,Manawatu Wanganui RC,17/10/2019,October,,-39.8953,174.9992,2680964,6143678,B,W,23.39,8.1,629776,96.21,0.29,0.107,104,94.066,2523,91.624,0.3058,0,88.01,3.92,0,69,32.5,0,0,17.39,2337.42,560,4.07,0,0,2.03,0,2.01,1.43,12.67,4362.82,229.7569034,3.950175166,1000484.54,566,1.01302087,1.0234375,2.46744347,0,1.515618777,0,1.173606887,0,0,0,2.725988565,0,0,1.339546567,0,0,0.066355087,0,90.03218767,0.148038875,0,0,0,0,0,0.054559782,0,0,0,0,2.944097788,0,0,0,0,0,6.2,,0.7,3.5,76,5,,5,,0.89,0.0015,<0.002,0.89,0.11,9,12.3,5.6,7.4,<0.001,<0.002,0.01,0.017,0.00053,<0.00001,0.00021,0.00072,<0.00005,<0.00008,<0.0002,0.0017,0.036,1.3,<0.001,<0.002,1.27,0.18,19,22.7,5.8,7.5,<0.001,<0.002,<0.005,0.006,<0.0005,<0.00001,<0.0002,0.0015,<0.00005,<0.00008,<0.0002,0.0029,2,5.94,6.16,5.79,5.88,82.5,1425,13,114,57.1,deep,,,,,0.008,0.12,0.2591,0.1807,1765,652.3,454.3,77.62,480,3429,0.008,51.5,19,13.2,2.26,14,2872,2220,1765, ,153.53,167.35,602.75,657.01,P,2.12,2120,0.196,196.3,1.924,1924,42410,42.4,3926,3.926,38484,38.5, ,70,30,4.9,14.6,1.7,41000,424,37900,7260,13.4,52.6,0.35,154,3960,8800,56.66,43.34,0,0.0105,95.1,1.91,10.99,5.74,4.29,1.6,0.37,0.009,784.4,,,,0.105,0.167463675,0,0,0,0,0,0.69,2.07,4.97,10.42,19.81,34.52,39.41,44.64,50.72,56.66,62.21,67.95,73.28,77.91,81.77,84.87,87.37,89.34,90.95,92.05,93.14,94.17,95.23,96.54,97.72,98.76,99.5,99.91,100,100,100,100,100,7.48,51.9,268
Lake Serpentine North,14426,Waikato,15/10/2020,October,,-37.94239999,175.3189342,2713979,6359718,C,S,11.76,4.6,181730,53.53,0.3,0.166,49,0.842,2068,77.975,0.3156,0,87.61,2.99,0,0,27.5,0,0,18,2332.37,300,2.84,0,0,1,0,1,2.62,13.44,34225.42,304.2932313,2.795258403,217985.776,613,1.43137252,1,40.5723915,0,0,0,0,0,0,0,0,0,0,0,0,0,5.794577797,0,94.2054222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,,1.5,,54,3,,3,,1.3,0.0032,0.0162,1.25,0.017,5,3.67,23.3,23.4,0.0043,0.0271,0.08,<0.002,0.00061,<0.00002,<0.0002,0.00064,0.000071,<0.00008,<0.0002,0.0049,0.0034,,,,,,,,,,,,,,,,,,,,,,1,5.27,4.62,5.83,5.37,24,1310,12,46.6,21.4,shallow,,,,,0.002,0.051,1.4663,1.4387,110.1,442.7,917.4,18.71,300,1790,0.082,6.1,24.7,51.2,1.05,16.8,1472,1029,112, ,11.72,112.71,15.09,145.18,C,0.952,952,0.064,64.4,0.888,888,19048,19,1288,1.288,17760,17.8,93.2,59.4,40.6,6.1,13.7,1.7,20600,173,43700,8200,35.3,26.2,0.574,171,1350,19000,42.93,57.07,0,0.0085,261.7,4.39,37.16,8.46,12.59,57.37,4.02,0.001,1177.7,,,,0.013,0.720106455,0,0,0,0,0,0.39,1.36,3.63,8.39,16.59,27.09,30.25,33.71,38.08,42.93,48.15,54.53,61.64,68.86,75.89,82.19,87.63,92.02,95.5,97.58,99.02,99.73,100,100,100,100,100,100,100,100,100,100,100,9.17,78,230
Lake Dudding,13447,Manawatu Wanganui RC,28/07/2020,July,,-40.1003,175.279,2704402,6120295,B,W,19.72,7.8,515106,91.85,0.299,0.087,99,93.137,2445,91.449,0.3091,0.91,89.3,1.04,0,45.32,50.5,0,0,17.13,2312.87,598,4.81,0,0,1.08,0,2.02,0.97,12.47,9179.32,539.7383036,4.493073702,348342.208,560.088889,2,1.02857149,3.33333349,0,0,0.958780684,0.448325114,0,0,0,3.094257174,0,0,0,0.865986212,0,0.294259925,0,92.96005768,0,0,0,0,0,0,0,0,0,0,0,1.378333207,0,0,0,0,0,7.3,,3,,92,5,,5,,1.4,0.0033,0.33,1.03,0.025,5,<3,8.6,8.9,0.0034,5.29,0.02,0.007,<0.0005,<0.00002,<0.0002,0.00089,<0.00005,<0.00008,0.00041,0.004,<0.0006,,,,,,,,,,,,,,,,,,,,,,1,5.73,5.78,5.82,5.6,74,1215,11.5,60.5,36.4,deep,,,,,0.013,0.37,0.7715,0.7056,537,516.2,247.7,38.29,228.9,1569,0.049,34.2,32.9,15.8,2.44,14.6,1302,785,538,,83.36,84.27,326.62,330.17,C,1.276,1276,0.21,210.2,1.066,1066,25528,25.5,4205,4.205,21324,21.3,83.5,82.8,17.2,1.3,3.9,0.65,43100,378,44500,4720,22.3,36.1,0.31,104,1550,3000,72.43,27.57,0,0.0089,64.9,2.14,32.96,15.42,4.19,2.89,0.96,0.041,439.4,3.9037,-27.95838,10.6536828,0.132,0.380910027,0,0,0,0,0,2.14,5.52,12.53,23.62,37.43,53.27,57.87,62.57,67.72,72.43,76.57,80.56,83.96,86.72,88.84,90.46,91.77,92.89,93.97,94.86,95.92,96.96,97.94,98.91,99.56,99.92,100,100,100,100,100,100,100,3.2,27.2,168
