LID,NAME,RC_REGION,East_NZMG,North_NZMG,PRIMARY.FENZ.class,GEOMORPHIC.Class,MaxDepth,LakeArea,LakeVolume,lkElev,FENZ.SumPress1A,FENZ.SumPress1B,RegionalRa,Regional.rank,National.Rank,NationalCu,Natural_cover,Urban,Pasture,Landuse_Pressure,Impervious,InvasivePlants,InvasiveFish,DamEffectUpstream,DamEffectDownstream,Fetch_,catBeech,catAnnTemp,MeanWind,catArea,catJuneSolRad,catElev,Catch.flow,catCalc,catPsize,DecSolrad,catPhos,catPeat,DecTemp,catSlope,DirectDistCoast,SumWind,catAlluv,catGlacial,catHard,ResidenceTime
1,Lake Onoke,Wellington RC,2688138,5978477,A,B,7.695773013,622.4,15965758,0.18,0.102,0.062,211,99.938,3005,94.483,0.3676,0.49,60.61,407879.26,36.6816,0,24,0,0.1871,3657,14.6,11.29,5.905070066,3428414976,531.46,288.83,2892042338,1.65,3.06,2326.53,1.77,7.20E-09,17.18,9.79,0,6.06,7.56E-07,0,2.6,0.06
3,Lake Kohangapiripiri,Wellington RC,2665360,5981216,A,B,7.649580867,10.8,275937,15.71,0.87,0.213,2,40.476,651,13.418,0.9337,0,7.04,7.79,0.6167,71.4,0,0,0,650,0,12.52,7.847438812,3804300,538.19,81.48,1379952.256,1.05,3.8,2295.31,1.05,0,16.91,11.17,249.95,8.08,0.000143,0,3.8,2.4
4,Lake Kohangatera,Wellington RC,2666134,5980426,A,B,7.631971639,21.3,542232,14.27,0.701,0.17,4,95.238,1564,65.458,0.8817,0,13.63,200.83,0,88,0,0,0,912,32.04,12.25,7.995451927,20359800,534.7,61,11169423.36,1.15,3.52,2322.4,1.15,0,16.96,13.27,51.05,8.18,6.84E-05,0,3.52,1.17
6,Karori Reservoir lower,Wellington RC,2656050,5988273,B,D,21.99372068,3.1,225174,176.02,0.701,0.701,1,9.524,500,9.163,0.9382,0,0,1.66,0.0428,0,0,0.9926,1,370,0,11.36,6.991116762,1795500,537.96,266.88,683311.104,1,4,2226.91,1,0,15.92,12.34,3060.66,7.28,0,0,4,1.34
7,Karori Reservoir upper,Wellington RC,2656693,5988993,B,D,23.85193252,2.2,176635,156.92,0.53,0.53,3,47.619,1601,65.912,0.7364,2.89,0,9.42,436.9159,0,0,1.2871,1,400,0,11.45,6.523216724,2442600,537.9,204.1,930048.448,1,4,2254.11,1,0,16.06,12.25,2262.76,6.87,0,0,4,0.71
8,,Wellington RC,2667005,5981707,W,S,7.286842358,1.7,41032,11.3,WETLAND,WETLAND,0,0,0,0,WETLAND,NA,NA,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,NA,NA,NA,7.699325085,17240400,534.04,130.57,9808308.224,1.14,3.57,2329.18,1.14,0,16.9,13.71,1946.73,7.87,7.62E-05,0,3.57,0.05
47,,Wellington RC,2668854,6008227,C,B,8.987514383,1.6,48119,29.9,0.515,0.15,5,97.619,2377,86.644,0.56,27.4,21,11.96,9.7118,0,60,0,0,230,0,12.44,5.283933163,1076400,535.66,96.99,590593.088,1.16,3.6,2339.65,1.25,0,16.95,9.42,1168.7,5.3,0,0,3.8,0.51
70,,Wellington RC,2712318,5957213,C,B,7.721135084,1.1,28778,13.11,0.33,0.33,0,0,0,0,0.3309,0,82.08,0,12.9714,0,0,0,0,170,0,12.93,5.275000095,164700,537.08,103.61,60951.988,4,5,2248.72,2,0,17.52,18.73,79.6,5.14,0,0,4,3.62
113,,Wellington RC,2685843,5978396,W,S,4.265560212,4.2,59587,9.72,WETLAND,WETLAND,0,0,0,0,WETLAND,NA,NA,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,NA,NA,NA,6.002533197,628200,535.01,32.58,242582.608,1.82,4.95,2296.01,2.65,0,17.1,2.96,236.46,6.14,0.00344,0,3.18,6.31
119,,Wellington RC,2687958,5980479,A,R,8.481252896,41.9,1183908,2.71,0.914,0.914,5,0.729,333,6.335,0.9946,0,1.12,12.17,13.3636,0,0,0,0,999,0,13,5.87438798,608400,535,3.88,240122.992,2.09,0.69,2327.57,1.39,0,17.17,0.66,2182.87,6.05,0.01,0,0.69,164.95
195,Lake Nganoke,Wellington RC,2692890,5981151,C,R,6.999956589,3.1,72263,19.91,0.282,0.282,99,10.502,2019,73.776,0.3075,0,90.8,13.2,3.2386,0,0,0,0,370,0,12.78,5.646758318,1744200,537,44.7,688791.616,2,1.39,2326.41,2.09,0,17.1,2.65,5685.5,5.84,0.000678,0,1.19,1.04
229,Lake Pounui,Wellington RC,2686803,5982547,A,T,16.25345682,46,2489672,14.08,0.927,0.564,167,92.886,821,14.396,0.9916,0,5.8,6.85,71.9701,0,24,0,0,1274,54.43,12.35,5.95195365,7179300,532.3,119.05,4424557.568,1,4.63,2310.75,1,0,17.02,11.25,4112.53,6.12,4.43E-06,0,3.97,4.6
298,,Wellington RC,2704483,6000167,W,S,2.919624098,1.9,18962,4.51,WETLAND,WETLAND,0,0,0,0,WETLAND,NA,NA,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,NA,NA,NA,5.291166782,26100,530,4.51,5905.34,2,1,2327.79,2,0,17.3,0.04,27937.79,5.8,0.38,0,1,109.84
299,,Wellington RC,2704765,6000976,W,S,3.394686187,9.2,103709,4.93,WETLAND,WETLAND,0,0,0,0,WETLAND,NA,NA,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,NA,NA,NA,5.303606749,113400,529.33,4.84,30738.504,2,1,2327.62,2,0,17.3,0.07,28570.54,5.8,0.08,0,1,336.61
300,,Wellington RC,2704506,6001375,C,R,3.102718744,6.6,68036,4.76,0.895,0.895,6,0.801,209,2.622,0.9643,0,17.7,8.87,0,0,0,0,0,490,0,12.89,5.339353323,79200,529,4.85,23242.416,2,1,2327.55,1.77,0,17.3,0.06,28897.75,5.85,0.12,0,1,400.52
301,,Wellington RC,2704121,6001725,W,S,2.927599195,10.6,103304,4.58,WETLAND,WETLAND,0,0,0,0,WETLAND,NA,NA,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,WETLAND,NA,NA,NA,5.376746655,9454500,527.85,20.46,3357729.28,2,1,2327.48,1.96,4.80E-05,17.3,0.34,29062.73,5.9,0.00101,0,1,0.48
325,Horseshoe Lagoon,Wellington RC,2713588,5998742,C,R,3.229258172,2.8,29688,15.77,0.288,0.288,78,9.609,1854,72.056,0.3047,0,85.75,4.54,6.0971,0,0,0,0,532,0,12.8,4.505447626,930600,528.96,16.66,101669.104,2,1,2327.71,2,0,17.3,0.58,31543.8,4.83,0.01,0,1,20.68
332,,Wellington RC,2763421,6002579,C,B,5.980375837,1.5,30059,6.65,0.3,0.3,62,97.436,2975,94.467,0.3099,0,93.44,1.09,0,0,0,0,0,220,0,13.19,6.517199993,178200,537,11.06,75416.864,2,4.09,2323.76,2.77,0,17.6,1.17,1242.2,6.54,0.01,0,2.54,4.03
