code,lake,trophic_level,taxa,S,SBTI,geometry
11133,Lake Rotorua,Eutrophic,"Microcystis aeruginosa, Acinetobacter bouvetii",2,4.15395224551614,"c(176.2703, -38.0775)"
12830,Lake Harihari,Oligotrophic,"Pseudomonas poae, Brevundimonas vesicularis, uncultured Rickettsiales bacterium, Aeromonas caviae, Pseudomonas koreensis, Pseudomonas fluorescens, Lelliottia amnigena, uncultured Burkholderiales bacterium, uncultured bacterium, Acinetobacter johnsonii, Sphingomonas insulae, Acinetobacter johnsonii, Aeromonas veronii, Pseudomonas yamanorum, Pseudomonas putida, uncultured Burkholderiales bacterium, Acinetobacter lwoffii, uncultured Burkholderiales bacterium, Pseudomonas granadensis, Acinetobacter guillouiae, Clostridium puniceum, Pseudomonas libanensis, Pseudomonas fluorescens, Acinetobacter ursingii, Pseudomonas fluorescens, Sphingomonas alpina, Pseudomonas putida, Acinetobacter baumannii, Shewanella putrefaciens, Pseudomonas marginalis pv. marginalis, Acinetobacter johnsonii, Janthinobacterium agaricidamnosum, Pseudomonas umsongensis, Acinetobacter bouvetii, Clostridium puniceum, Acinetobacter baumannii, Pseudomonas umsongensis, Exiguobacterium sibiricum 255-15, Pseudomonas tolaasii, Curtobacterium flaccumfaciens, Pseudomonas fluorescens, Acinetobacter johnsonii XBB1, Acinetobacter calcoaceticus, Pseudomonas fluorescens, Klebsiella oxytoca, Pseudomonas brassicacearum, Pseudomonas tolaasii, Acinetobacter johnsonii, Exiguobacterium sibiricum, Enterobacter asburiae, Staphylococcus epidermidis, Afipia broomeae, Acinetobacter baumannii, Bacillus mycoides, Stenotrophomonas rhizophila, Pseudomonas plecoglossicida, Pseudomonas tolaasii, Pseudomonas migulae, Pseudomonas fulva, Erwinia rhapontici, Pseudomonas graminis, Hafnia alvei, Pseudomonas migulae, Aeromonas encheleia, Pseudomonas taetrolens, Agrobacterium rubi, Acinetobacter junii, Janthinobacterium agaricidamnosum, Pseudomonas fluorescens, Sphingomonas koreensis, Pseudomonas putida, Janthinobacterium agaricidamnosum, Pseudomonas putida, Pseudomonas fluorescens, Pseudomonas migulae, Microbacterium oxydans, Pseudomonas frederiksbergensis, Mycobacterium vaccae, Shewanella putrefaciens",79,2.97480232474536,"c(174.7215154, -38.2115581)"
12876,Lake Taharoa,Mesotrophic,"Pseudomonas poae, Brevundimonas vesicularis, uncultured Rickettsiales bacterium, Aeromonas caviae, Pseudomonas koreensis, Pseudomonas fluorescens, Aeromonas sobria, Lelliottia amnigena, uncultured Burkholderiales bacterium, uncultured bacterium, Aeromonas salmonicida, Acinetobacter johnsonii, Sphingomonas insulae, Stenotrophomonas maltophilia, Acinetobacter johnsonii, Aeromonas veronii, Pseudomonas yamanorum, Pseudomonas putida, uncultured Burkholderiales bacterium, Acinetobacter lwoffii, uncultured Burkholderiales bacterium, Pseudomonas granadensis, Clostridium puniceum, Pseudomonas libanensis, Pseudomonas fluorescens, Acinetobacter ursingii, Pseudomonas fluorescens, Sphingomonas alpina, Acinetobacter johnsonii XBB1, Pseudomonas putida, Acinetobacter baumannii, Shewanella putrefaciens, Pseudomonas marginalis pv. marginalis, Acinetobacter johnsonii, Janthinobacterium agaricidamnosum, Pseudomonas umsongensis, Acinetobacter bouvetii, Clostridium puniceum, Acinetobacter baumannii, Pseudomonas umsongensis, Exiguobacterium sibiricum 255-15, Pseudomonas fluorescens, Curtobacterium flaccumfaciens, Pseudomonas fluorescens, Acinetobacter calcoaceticus, Pseudomonas fluorescens, Klebsiella oxytoca, Serratia fonticola, Sphingomonas paucimobilis, Pseudomonas brassicacearum, Pseudomonas fluorescens, Pseudomonas tolaasii, Acinetobacter johnsonii, Exiguobacterium sibiricum, Enterobacter asburiae, Erwinia billingiae, Pseudomonas fluorescens, Afipia broomeae, metagenome, Acinetobacter baumannii, Bacillus thuringiensis, Bacillus mycoides, Acinetobacter lwoffii, Stenotrophomonas rhizophila, Pseudomonas plecoglossicida, Agrobacterium radiobacter, Pseudomonas tolaasii, Hafnia alvei, Pseudomonas migulae, Janthinobacterium agaricidamnosum, Pseudomonas fluorescens, Pseudomonas fulva, Aeromonas veronii bv. sobria, Erwinia rhapontici, Pseudomonas graminis, Pseudomonas syringae, Serratia liquefaciens, Rhodococcus fascians, Pseudomonas migulae, Aeromonas encheleia, Pseudomonas fragi, Pseudomonas taetrolens, Pseudomonas putida, Acinetobacter junii, Janthinobacterium agaricidamnosum, Pseudomonas rhodesiae, Pseudomonas fluorescens, Shewanella putrefaciens, Pseudomonas putida, Sphingomonas koreensis, Pseudomonas putida, Janthinobacterium agaricidamnosum, Pseudomonas putida, Pseudomonas fluorescens, Aeromonas hydrophila, Pseudomonas migulae, Pseudomonas rhodesiae, Pseudomonas putida, Pseudomonas migulae, Pseudomonas moraviensis, Mycobacterium vanbaalenii, Aeromonas caviae, Rahnella aquatilis, Pseudomonas frederiksbergensis, Enterococcus mundtii, Pseudomonas synxantha, Mycobacterium iranicum, Pseudomonas cichorii, Rahnella aquatilis CIP 78.65 = ATCC 33071, Enterobacteriaceae bacterium, Enterobacter ludwigii",111,3.20486200502639,"c(174.7388147, -38.1658535)"
13446,Lake Heaton,Supertrophic,"Pseudomonas poae, Pseudomonas koreensis, Pseudomonas fluorescens, Microcystis aeruginosa, Microcystis aeruginosa, uncultured bacterium, Sphingomonas insulae, Pseudomonas yamanorum, Acinetobacter lwoffii, uncultured Burkholderiales bacterium, Pseudomonas granadensis, Clostridium puniceum, Pseudomonas libanensis, Pseudomonas fluorescens, Pseudomonas fluorescens, Shewanella putrefaciens, Pseudomonas marginalis pv. marginalis, Janthinobacterium agaricidamnosum, Pseudomonas umsongensis, Clostridium puniceum, Pseudomonas umsongensis, Pseudomonas tolaasii, Pseudomonas fluorescens, Pseudomonas fluorescens, Pseudomonas fluorescens, Pseudomonas fluorescens, Pseudomonas fluorescens, Pseudomonas tolaasii, Pseudomonas fluorescens, Pseudomonas syringae, Pseudomonas fluorescens, Bacillus mycoides, Acinetobacter lwoffii, Stenotrophomonas rhizophila, Pseudomonas tolaasii, Hafnia alvei, Pseudomonas fluorescens, Pseudomonas graminis, Pseudomonas syringae, Rhodococcus fascians, Pseudomonas migulae, Janthinobacterium agaricidamnosum, Pseudomonas fluorescens, Pseudomonas fluorescens, Pseudomonas asturiensis, uncultured bacterium, Pseudomonas rhodesiae, Pseudomonas fluorescens, Pseudomonas libanensis, Pseudomonas putida, Janthinobacterium agaricidamnosum, Pseudomonas putida, Aeromonas hydrophila, Pseudomonas migulae, Mycobacterium szulgai, Pseudomonas moraviensis, Pseudomonas viridiflava, Rahnella aquatilis CIP 78.65 = ATCC 33071, Pseudomonas fuscovaginae, Clavibacter michiganensis",60,5.55274178016316,"c(175.2874406, -40.10708351)"
13447,Lake Dudding,Supertrophic,"Pseudomonas poae, Pseudomonas koreensis, Pseudomonas fluorescens, Aeromonas sobria, Microcystis aeruginosa, uncultured bacterium, Aeromonas veronii, Pseudomonas yamanorum, uncultured Burkholderiales bacterium, Acinetobacter lwoffii, uncultured Burkholderiales bacterium, Pseudomonas granadensis, Pseudomonas libanensis, Pseudomonas fluorescens, Pseudomonas fluorescens, Shewanella putrefaciens, Pseudomonas marginalis pv. marginalis, Janthinobacterium agaricidamnosum, Pseudomonas umsongensis, Acinetobacter pittii, Pseudomonas umsongensis, Pseudomonas tolaasii, Pseudomonas fluorescens, Pseudomonas fluorescens, Pseudomonas fluorescens, Pseudomonas fluorescens, Pseudomonas fluorescens, Pseudomonas tolaasii, Pseudomonas fluorescens, Pseudomonas syringae, Pseudomonas fluorescens, Pseudomonas tolaasii, Pseudomonas fluorescens, Pseudomonas graminis, Pseudomonas syringae, Rhodococcus fascians, Pseudomonas migulae, Pseudomonas fluorescens, Streptococcus equinus, Pseudomonas fluorescens, Pseudomonas asturiensis, Pseudomonas rhodesiae, Pseudomonas fluorescens, Pseudomonas libanensis, Pseudomonas putida, Janthinobacterium agaricidamnosum, Pseudomonas putida, Pseudomonas migulae, Pseudomonas moraviensis, Pseudomonas viridiflava, Streptomyces albidoflavus",51,5.22259156998822,"c(175.279, -40.1003)"
13466,Lake Katawich,Supertrophic,"Pseudomonas poae, Microcystis aeruginosa, Microcystis aeruginosa, Acinetobacter johnsonii, Sphingomonas insulae, Acinetobacter johnsonii, Pseudomonas putida, Acinetobacter lwoffii, Pseudomonas granadensis, Clostridium puniceum, Pseudomonas libanensis, Sphingomonas alpina, Acinetobacter johnsonii XBB1, Pseudomonas putida, Pseudomonas syringae pv. cerasicola, Acinetobacter bouvetii, Pseudomonas umsongensis, Curtobacterium flaccumfaciens, Acinetobacter johnsonii XBB1, Pseudomonas fluorescens, Pseudomonas fulva, Enterobacter asburiae, Bacillus thuringiensis, Pseudomonas tolaasii, Pseudomonas taetrolens",25,5.02579411289496,"c(173.164791, -34.943127)"
13467,Lake Waiparera,Eutrophic,"Microcystis aeruginosa, Microcystis aeruginosa, Aeromonas veronii, uncultured Burkholderiales bacterium, Sphingomonas alpina, Clostridium puniceum, Staphylococcus warneri, Pseudomonas umsongensis, Enterobacter asburiae, metagenome, Bacillus thuringiensis",11,4.66850881248978,"c(173.1832282, -34.94642884)"
14290,Lake Okaro,Supertrophic,"Acinetobacter johnsonii, Pseudomonas libanensis, Acinetobacter johnsonii, Aeromonas veronii, Pseudomonas putida, Acinetobacter johnsonii CIP 64.6",6,5.12090929670913,"c(176.3945234, -38.2989411)"
14418,Lake Mangahia,Supertrophic,"Microcystis aeruginosa, uncultured bacterium, Acinetobacter lwoffii, Clostridium puniceum, Pseudomonas libanensis, Pseudomonas fluorescens, Janthinobacterium agaricidamnosum, uncultured Candidatus Saccharibacteria bacterium, Pseudomonas tolaasii, Pseudomonas fluorescens, Curtobacterium flaccumfaciens, Enterobacter cloacae, metagenome, Bacillus thuringiensis, Enterobacter cloacae, Klebsiella aerogenes",16,5.16205953453016,"c(175.2281991, -37.8796137)"
14422,Lake Maratoto,NA,"Pseudomonas poae, Acinetobacter johnsonii, Acinetobacter johnsonii, Pseudomonas putida, Pseudomonas granadensis, Pseudomonas libanensis, Pseudomonas fluorescens, Acinetobacter johnsonii XBB1, Pseudomonas putida, Acinetobacter johnsonii, Exiguobacterium sibiricum 255-15, Acinetobacter johnsonii XBB1, Pseudomonas fluorescens, Serratia proteamaculans, Serratia fonticola, Afipia broomeae, Acinetobacter baumannii, Serratia liquefaciens, Hafnia alvei, Pseudomonas taetrolens, Pseudomonas psychrophila, Serratia proteamaculans, Ralstonia pickettii, Citrobacter braakii",24,NA,"c(175.3042675, -37.8874962)"
